unique_id,category,variation,nice_name,artist,mafia_name,twitter,instagram,filename paste,file,inches,inch_variance,radius_max,serving_min,serving_max,pie_count,layer
0000,box,cardboard,Pizza Box,Michael Sparber,,,,0000-box-cardboard,Y,,,,,,,
0010,box,greasy,Greasy Pizza Box,Loud Colorz,,,,0000-box-greasy,Y,,,,,,,
0500,paper,redchecker,Checker Wax Paper,Michael Sparber,,,,0500-paper-redchecker,Y,,,,,,,
1000,crust,thincrust,Thin Crust,Michael Sparber,,,,1000-crust-thincrust,Y,,,,,,,
1010,crust,thickcrust,#REF!,Erick Stow,,,,1010-crust-thickcrust,Y,,,,,,,
1020,crust,mooncrust,#REF!,Joel Fallerini,,,,1020-crust-mooncrust,Y,,,,,,,
1030,crust,stuffedcheese,#REF!,,,,,1030-crust-stuffedcheese,N,,,,,,,
1040,crust,castle,#REF!,,,,,,,,,,,,,
1050,crust,whitebread,#REF!,,,,,,,,,,,,,
1060,crust,cauliflower,#REF!,,,,,,,,,,,,,
1070,crust,,#REF!,,,,,,,,,,,,,
2000,sauce,tomato,Tomato Sauce,#REF!,,,,2000-sauce-tomato,Y,,,,,,,
2010,sauce,pesto,Pesto Sauce,#REF!,,,,2010-sauce-pesto,Y,,,,,,,
2020,sauce,mud,Mud Sauce,#REF!,,,,2020-sauce-mud,Y,,,,,,,
2030,sauce,bbq,BBQ Sauce,#REF!,,,,2030-sauce-bbq,Y,,,,,,,
2040,sauce,nutella,Nutella Sauce,#REF!,,,,2040-sauce-nutella,N,,,,,,,
2050,sauce,white,White Sauce,#REF!,,,,2050-sauce-white,N,,,,,,,
2060,sauce,deepspace,Deep Space Sauce,#REF!,,,,2060-sauce-deepspace,Y,,,,,,,
2070,sauce,prismicfluid,Prismic Fluid,#REF!,,,,2070-sauce-prismicfluid,Y,,,,,,,
2080,sauce,currysauce,Curry Sauce,#REF!,,,,2080-sauce-currysauce,N,,,,,,,
2090,sauce,redglitter,Red Glitter Sauce,#REF!,,,,2090-sauce-redglitter,N,,,,,,,
3000,cheese,mozzarella,Mozzarella,Erick Stow,,,,3000-cheese-mozzarella,Y,,,,,,,
3010,cheese,digitalvegan,Digital Vegan,John Cabrera,,,,3010-cheese-digitalvegan,Y,,,,,,,
3020,cheese,fetaballs,Feta Balls,Alex Likissas,,,,3020-cheese-fetaballs,Y,,,,,,,
3030,cheese,smoked mozzarella,Smoked Mozzarella Chunks,John Brassell,,,,3030-cheese-smoked mozzarella,Y,,,,,,,
3031,cheese,smoked mozzarella,Smoked Mozzarella Chunks,John Brassell,,,,3031-cheese-smoked mozzarella,Y,,,,,,,
3032,cheese,smoked mozzarella,Smoked Mozzarella Chunks,John Brassell,,,,3032-cheese-smoked mozzarella,Y,,,,,,,
3040,cheese,goat,Goat Cheese Bits,Bobby 0xelrod,,,,3040-cheese-goat,Y,,,,,,,
3050,cheese,czech,Czech,113kw Kristina Weiserova,,,,3050-cheese-czech,Y,,,,,,,
3060,cheese,,Blue Cheese Bits,,,,,3060-cheese-,N,,,,,,,
3070,cheese,provolone,Standard Provolone,Santa,,,,3070-cheese-provolone,Y,,,,,,,
3071,cheese,provolone,Rainbow Provolone,Santa,,,,3071-cheese-provolone,Y,,,,,,,
3080,cheese,,Gouda,AVL Joe America,,,,3080-cheese-,N,,,,,,,
3090,cheese,chezdoge,Chez Doge,Kumi,,,,3090-cheese-chezdoge,Y,,,,,,,
3100,cheese,,Quattro Formaggi (4cheese),Raphael Kling,,,,3100-cheese-,N,,,,,,,
3110,cheese,,Ricotta bits,Alexander Mazzei,,,,3110-cheese-,N,,,,,,,
3120,cheese,,Korbacik (Slovakian Cheese),Jaromir Hruby,,,,3120-cheese-,N,,,,,,,
3120,extra-cheese,korbacik,,Jaromir Hruby,,,,3120-extra-cheese-korbacik,Y,,,,,,,
3140,cheese,,Cheddar bits,Wj,,,,3140-cheese-,N,,,,,,,
