unique_id,category,topping,filename_paste,on_disk,img_size,inches,scale_factor,inch_variance,min_per,max_per,variant rarity,topping rarity,scatters,description,mark_end
0000,box,white,0000-box-white,Y,#N/A,18,1,0,1,1,,,,#N/A,.
0010,box,cardboard,0010-box-cardboard,Y,#N/A,18,1,0,1,1,,,,#N/A,.
0020,box,greasy,0020-box-greasy,Y,#N/A,18,1,0,1,1,,,,#N/A,.
0500,paper,redchecker,0500-paper-redchecker,Y,#N/A,18,1,0,1,1,,,,#N/A,.
0510,paper,greenchecker,0510-paper-greenchecker,Y,#N/A,18,1,0,1,1,,,,#N/A,.
0520,paper,doodle,0520-paper-doodle,Y,#N/A,18,1,0,1,1,,,,#N/A,.
1000,crust,thin,1000-crust-thin,Y,#N/A,18,3,0,1,1,,,,#N/A,.
1010,crust,thick,1010-crust-thick,Y,#N/A,18,3,0,1,1,,,,#N/A,.
1020,crust,moon,1020-crust-moon,Y,#N/A,18,3,0,1,1,,,,#N/A,.
1030,crust,stuffedcheese,1030-crust-stuffedcheese,N,#N/A,18,3,0,,,,,,#N/A,.
1040,crust,castle,1040-crust-castle,Y,#N/A,18,3,0,1,1,,,,#N/A,.
1050,crust,whitebread,1050-crust-whitebread,Y,#N/A,18,3,0,1,1,,,,#N/A,.
1060,crust,,1060-crust-,N,#N/A,18,3,0,1,1,,,,#N/A,.
1070,crust,glutenfree,1070-crust-glutenfree,Y,#N/A,18,3,0,1,1,,,,#N/A,.
2000,sauce,tomato,2000-sauce-tomato,Y,#N/A,18,3,0,1,1,,common,,Tomatoes crushed by hand,.
2010,sauce,pesto,2010-sauce-pesto,Y,#N/A,17,2.833333333,0,1,1,,rare,,Mades with only the freshest basil and pine nuts from the island of Scily. It’s the besto pesto in the east or westo! - DS,.
2011,sauce,pesto,2011-sauce-pesto,Y,#N/A,17,2.833333333,0,1,1,,,,Mades with only the freshest basil and pine nuts from the island of Scily. It’s the besto pesto in the east or westo! - DS,.
2020,sauce,,2020-sauce-,N,#N/A,,0,0,,,,,,Mades with only the freshest basil and pine nuts from the island of Scily. It’s the besto pesto in the east or westo! - DS,.
2030,sauce,bbq,2030-sauce-bbq,Y,#N/A,17,2.833333333,0,1,1,,rare,,Smoky southern BBQ favors,.
2040,sauce,nutella,2040-sauce-nutella,Y,#N/A,18,3,0,1,1,,epic,,Are you tired of peanut butter on your pizza? Spice things up with this hazelnut based alternative. - DS,.
2050,sauce,white,2050-sauce-white,N,#N/A,,0,0,,,,uncommon,,Are you tired of peanut butter on your pizza? Spice things up with this hazelnut based alternative. - DS,.
2060,sauce,deepspace,2060-sauce-deepspace,Y,#N/A,17,2.833333333,0,1,1,,grail,,It's really far out there man,.
2070,sauce,prismicfluid,2070-sauce-prismicfluid,Y,#N/A,17,2.833333333,0,1,1,,grail,,Be comforted by the swirling prismatic patterns of this rare sauce. The technology used to create the original batch has been lost. -DS,.
2071,sauce,prismicfluid,2071-sauce-prismicfluid,Y,#N/A,17,2.833333333,0,1,1,,,,Be comforted by the swirling prismatic patterns of this rare sauce. The technology used to create the original batch has been lost. -DS,.
2072,sauce,prismicfluid,2072-sauce-prismicfluid,Y,#N/A,17,2.833333333,0,1,1,,,,Be comforted by the swirling prismatic patterns of this rare sauce. The technology used to create the original batch has been lost. -DS,.
2073,sauce,prismicfluid,2073-sauce-prismicfluid,Y,#N/A,17,2.833333333,0,1,1,,,,Be comforted by the swirling prismatic patterns of this rare sauce. The technology used to create the original batch has been lost. -DS,.
2080,sauce,currysauce,2080-sauce-currysauce,N,#N/A,,0,0,,,,,,Be comforted by the swirling prismatic patterns of this rare sauce. The technology used to create the original batch has been lost. -DS,.
2090,sauce,redglitter,2090-sauce-redglitter,N,#N/A,,0,0,,,,,,Be comforted by the swirling prismatic patterns of this rare sauce. The technology used to create the original batch has been lost. -DS,.
2110,sauce,placenta,2110-sauce-placenta,N,#N/A,,0,0,,,,,,Be comforted by the swirling prismatic patterns of this rare sauce. The technology used to create the original batch has been lost. -DS,.
3000,cheese,mozzarella,3000-cheese-mozzarella,Y,#N/A,16,2.666666667,0,1,1,,common,,Plain and Simple,.
3010,cheese,digitalvegan,3010-cheese-digitalvegan,Y,#N/A,16,2.666666667,0,1,1,,uncommon,,Don’t knock it till you try it. -DS,.
3020,cheese,ricotta,3020-cheese-ricotta,Y,#N/A,16,2.666666667,0,1,1,,uncommon,,Our ricotta longs to one day be a real cheese and not just a latticino. Dream on little guy … dream on.  - DS,.
3030,cheese,smokedmozzarella,3030-cheese-smokedmozzarella,Y,#N/A,16,2.666666667,0,1,1,common,common,,We send every chunk from Italy to Amsterdam to smoke it up really good. - DS,.
3031,cheese,smokedmozzarella,3031-cheese-smokedmozzarella,Y,#N/A,16,2.666666667,0,1,1,uncommon,,,We send every chunk from Italy to Amsterdam to smoke it up really good. - DS,.
3032,cheese,smokedmozzarella,3032-cheese-smokedmozzarella,Y,#N/A,12,2,1,1,1,uncommon,,,We send every chunk from Italy to Amsterdam to smoke it up really good. - DS,.
3033,cheese,smokedmozzarella,3033-cheese-smokedmozzarella,Y,#N/A,16,2.666666667,0,1,1,rare,,,We send every chunk from Italy to Amsterdam to smoke it up really good. - DS,.
3040,cheese,goat,3040-cheese-goat,Y,#N/A,16,2.666666667,0,1,1,,uncommon,,We send every chunk from Italy to Amsterdam to smoke it up really good. - DS,.
3050,cheese,tvaruzek,3050-cheese-tvaruzek,Y,#N/A,16,2.666666667,0,1,1,common,rare,,Stinky,.
3051,cheese,tvaruzek,3051-cheese-tvaruzek,Y,#N/A,16,2.666666667,0,1,1,uncommon,,,Stinky,.
3070,cheese,provolone,3070-cheese-provolone,Y,#N/A,18,3,0,1,1,common,uncommon,,Made by an enlightened master hermit in the hills of Assisi who has perfected cheesecraft through decades of living on his provolonesome. - DS,.
3071,cheese,provolone,3071-cheese-provolone,Y,#N/A,16,2.666666667,0,1,1,uncommon,,,Made by an enlightened master hermit in the hills of Assisi who has perfected cheesecraft through decades of living on his provolonesome. - DS,.
3072,cheese,provolone,3072-cheese-provolone,Y,#N/A,16,2.666666667,0,1,1,rare,,,Made by an enlightened master hermit in the hills of Assisi who has perfected cheesecraft through decades of living on his provolonesome. - DS,.
3080,cheese,fetabits,3080-cheese-fetabits,Y,#N/A,16,2.666666667,0,1,1,common,uncommon,,Made with milk from only the most intellectually rigorous and woke sheep. They follow only the truth as best as they can understand it. - DS,.
3090,cheese,chezdoge,3090-cheese-chezdoge,Y,#N/A,16,2.666666667,0,,,,,,Made with milk from only the most intellectually rigorous and woke sheep. They follow only the truth as best as they can understand it. - DS,.
3100,cheese,formaggi,3100-cheese-formaggi,Y,#N/A,16,2.666666667,0,1,1,,rare,,"Because you weren't happy with just three cheeses. Seriously, what's wrong with you? - DS
",.
3110,cheese,,3110-cheese-,N,#N/A,,0,0,,,,,,"Because you weren't happy with just three cheeses. Seriously, what's wrong with you? - DS
",.
3120,cheese,korbacik,3120-cheese-korbacik,Y,#N/A,2,0.3333333333,0.25,2,4,,rare,,"This rare cheese topping is among our best, one taste and its Czech-mate. - DS",.
