unique_id,category,topping,filename_paste,on_disk,sized_well,rotation,inches,scale_factor,inch_variance,min_per,max_per,variant rarity,topping rarity,scatters,serving_size,mass,calories,potassium,vitamin_c,magnesium,vitamin_b5,vitamin_d,vitamin_b7,height,moisture_content,cholesterol,vitamin_a,dietary_fiber,vitamin_b6,sugar,protein,iron,complex_carb,selenium,vitamin_k,vitamin_b12,calories_from_fat,vitamin_e,zinc,saturated_fat,iodine,trans_fat,sodium,monosaturated_fat,calcium,riboflavin,thiamin,folate,added_sugar,chromium,manganese,mark_end
0000,box,white,0000-box-white,Y,N,0,18,1.0,0,1,1,,,,90,994,92,10,1,2,3,4,5,10,11,15,16,16,17,20,21,25,30,31,32,40,41,42,50,51,52,60,61,62,63,70,71,72,23,22,24,.
0010,box,cardboard,0010-box-cardboard,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
0020,box,greasy,0020-box-greasy,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
0500,paper,redchecker,0500-paper-redchecker,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
0510,paper,greenchecker,0510-paper-greenchecker,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
0520,paper,doodle,0520-paper-doodle,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
0530,paper,cherry-code,0530-paper-cherry-code,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
0531,paper,cherry-code,0531-paper-cherry-code,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
0532,paper,cherry-code,0532-paper-cherry-code,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
0540,paper,blackberry-code,0540-paper-blackberry-code,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
0541,paper,blackberry-code,0541-paper-blackberry-code,Y,N,0,18,1.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
1000,crust,thin,1000-crust-thin,Y,N,0,18,3.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
1010,crust,thick,1010-crust-thick,Y,N,0,18,3.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
1020,crust,moon,1020-crust-moon,Y,N,0,18,3.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
1030,crust,stuffedcheese,1030-crust-stuffedcheese,N,N,0,18,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
1040,crust,castle,1040-crust-castle,Y,N,0,18,3.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
1050,crust,whitebread,1050-crust-whitebread,Y,N,0,18,3.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
1060,crust,,1060-crust-,N,N,0,18,3.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
1070,crust,glutenfree,1070-crust-glutenfree,Y,N,0,18,3.0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2000,sauce,tomato,2000-sauce-tomato,Y,N,,18,3.0,0,1,1,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2010,sauce,pesto,2010-sauce-pesto,Y,N,,17,2.8,0,1,1,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2011,sauce,pesto,2011-sauce-pesto,Y,N,,17,2.8,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
2020,sauce,,2020-sauce-,N,N,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
